Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,Segment
12447,243,1,476.49,2,1,2,Lost
12448,44,1,449.45,4,1,2,New Promising
12449,22,6,4835.89,4,4,5,Champions
12450,156,7,666.95,3,4,3,Loyal Customers
12451,11,10,12546.53,5,4,5,Champions
12452,17,3,428.57,5,2,2,New Promising
12453,134,1,707.09,3,1,3,Others
12454,53,9,4292.71,4,4,5,Champions
12455,73,10,5879.95,3,4,5,Loyal Customers
12456,44,4,3153.89,4,3,5,Loyal Customers
12457,58,14,2472.31,3,5,4,Loyal Customers
12458,71,4,1777.49,3,3,4,Loyal Customers
12459,605,1,454.36,1,1,2,Lost
12460,456,1,326.65,1,1,2,Lost
12461,94,2,826.88,3,2,3,Others
12462,2,4,1124.01,5,3,3,Loyal Customers
12463,46,7,1303.63,4,4,4,Champions
12464,10,8,1212.05,5,4,4,Champions
12465,8,3,733.89,5,2,3,New Promising
12466,682,1,56.73,1,1,1,Lost
12468,143,10,3624.55,3,4,5,Loyal Customers
12469,523,2,3070.54,1,2,5,Cannot Lose Them
12470,690,1,211.95,1,1,1,Lost
12471,2,129,37920.01,5,5,5,Champions
12472,31,37,15447.69,4,5,5,Champions
12473,29,9,2837.73,4,4,4,Champions
12474,17,54,11948.75,5,5,5,Champions
12475,54,2,1149.64,4,2,3,New Promising
12476,1,38,13684.12,5,5,5,Champions
12477,23,12,20173.64,4,5,5,Champions
12478,4,1,680.99,5,1,3,New Promising
12479,4,3,477.3,5,2,2,New Promising
12480,28,8,5435.1,4,4,5,Champions
12481,23,18,12041.15,4,5,5,Champions
12482,450,32,21893.53,1,5,5,At Risk
12483,17,27,4823.47,5,5,5,Champions
12484,33,16,6287.8,4,5,5,Champions
12485,529,1,708.1,1,1,3,Cannot Lose Them
12486,432,1,1037.28,1,1,3,Cannot Lose Them
12487,731,2,259.8,1,2,1,Lost
12488,10,3,1298.66,5,2,4,New Promising
12489,336,1,334.93,2,1,2,Lost
12490,5,22,9818.64,5,5,5,Champions
12491,39,1,460.4,4,1,2,New Promising
12492,63,3,715.21,3,2,3,Others
12493,166,3,416.79,3,2,2,Others
12494,10,17,1685.92,5,5,4,Champions
12495,635,2,323.4,1,2,2,Lost
12496,620,2,45.34,1,2,1,Lost
12497,82,4,6211.75,3,3,5,Loyal Customers
12498,21,3,403.7,4,2,2,New Promising
12499,560,1,393.72,1,1,2,Lost
12500,23,25,5872.31,4,5,5,Champions
12501,315,2,2089.68,2,2,4,Cannot Lose Them
12502,96,5,3723.87,3,3,5,Loyal Customers
12504,18,6,411.0,5,4,2,Others
12505,301,3,908.0,2,2,3,Cannot Lose Them
12506,233,1,73.5,2,1,1,Lost
12507,134,5,1797.31,3,3,4,Loyal Customers
12508,26,2,397.88,4,2,2,New Promising
12509,284,1,176.5,2,1,1,Lost
12510,143,16,3689.33,3,5,5,Loyal Customers
12511,415,2,3065.77,1,2,5,Cannot Lose Them
12512,66,2,132.18,3,2,1,Others
12513,85,2,586.79,3,2,2,Others
12514,267,2,1597.76,2,2,4,Cannot Lose Them
12515,353,1,383.7,2,1,2,Lost
12516,78,4,2648.62,3,3,4,Loyal Customers
12517,28,6,2443.65,4,4,4,Champions
12518,1,5,2056.89,5,3,4,Loyal Customers
12519,64,3,685.19,3,2,3,Others
12520,79,6,2582.51,3,4,4,Loyal Customers
12521,143,1,599.68,3,1,3,Others
12522,39,2,192.72,4,2,1,New Promising
12523,2,30,4201.05,5,5,5,Champions
12524,9,18,11091.36,5,5,5,Champions
12525,491,8,835.18,1,4,3,At Risk
12526,1,3,1316.66,5,2,4,New Promising
12527,82,5,735.51,3,3,3,Loyal Customers
12528,9,8,1922.28,5,4,4,Champions
12529,523,2,311.78,1,2,2,Lost
12530,60,12,3689.86,3,5,5,Loyal Customers
12531,15,3,1899.05,5,2,4,New Promising
12532,30,1,349.83,4,1,2,New Promising
12533,619,6,1149.99,1,4,3,At Risk
12534,131,1,1089.18,3,1,3,Others
12535,92,2,716.35,3,2,3,Others
12536,8,5,4106.82,5,3,5,Loyal Customers
12537,409,1,732.94,1,1,3,Cannot Lose Them
12538,29,2,640.45,4,2,3,New Promising
12539,22,8,9498.9,4,4,5,Champions
12540,20,36,22107.29,4,5,5,Champions
12541,30,3,981.18,4,2,3,New Promising
12542,484,4,423.38,1,3,2,At Risk
12543,448,1,980.25,1,1,3,Cannot Lose Them
12544,30,2,355.7,4,2,2,New Promising
12545,75,2,1000.39,3,2,3,Others
12546,47,3,1141.5,4,2,3,New Promising
12547,198,3,383.58,2,2,2,Lost
12548,166,1,95.2,3,1,1,Others
12549,576,6,1575.68,1,4,4,At Risk
12550,79,1,964.83,3,1,3,Others
12551,358,1,168.0,2,1,1,Lost
12552,39,2,437.82,4,2,2,New Promising
12553,8,17,4548.82,5,5,5,Champions
12554,449,1,468.5,1,1,2,Lost
12555,682,1,129.23,1,1,1,Lost
12556,50,2,599.56,4,2,3,New Promising
12557,16,8,18096.14,5,4,5,Champions
12558,2,2,0.0,5,2,1,New Promising
12559,311,3,536.21,2,2,2,Lost
12560,5,4,2101.39,5,3,4,Loyal Customers
12561,303,1,238.85,2,1,1,Lost
12562,8,9,4966.92,5,4,5,Champions
12563,409,1,249.24,1,1,1,Lost
12564,261,1,456.9,2,1,2,Lost
12565,282,2,131.17,2,2,1,Lost
12566,73,2,346.7,3,2,2,Others
12567,23,17,11451.44,4,5,5,Champions
12568,645,1,70.0,1,1,1,Lost
12569,2,35,4064.99,5,5,5,Champions
12570,682,1,77.52,1,1,1,Lost
12571,40,2,519.61,4,2,2,New Promising
12572,9,3,1004.72,5,2,3,New Promising
12573,227,5,717.41,2,3,3,At Risk
12574,316,1,218.45,2,1,1,Lost
12575,457,2,622.82,1,2,3,Cannot Lose Them
12576,36,11,2083.87,4,5,4,Champions
12577,35,9,1554.7,4,4,4,Champions
12578,21,7,4572.45,4,4,5,Champions
12579,73,3,410.72,3,2,2,Others
12580,247,2,1052.9,2,2,3,Cannot Lose Them
12581,40,1,197.71,4,1,1,New Promising
12582,239,4,1980.4,2,3,4,At Risk
12583,3,31,13489.04,5,5,5,Champions
12584,4,18,1893.95,5,5,4,Champions
12585,234,4,1982.81,2,3,4,At Risk
12586,17,5,2045.67,5,3,4,Loyal Customers
12587,8,1,144.0,5,1,1,New Promising
12588,39,5,938.98,4,3,3,Loyal Customers
12589,29,11,3094.17,4,5,5,Champions
12590,190,5,9853.48,2,3,5,At Risk
12591,317,3,1338.95,2,2,4,Cannot Lose Them
12592,92,8,1152.62,3,4,3,Loyal Customers
12593,109,3,418.1,3,2,2,Others
12594,38,17,5044.51,4,5,5,Champions
12595,505,1,299.02,1,1,2,Lost
12596,51,2,618.27,4,2,3,New Promising
12597,19,5,3683.13,4,3,5,Loyal Customers
12598,10,15,4414.67,5,5,5,Champions
12599,29,13,2296.72,4,5,4,Champions
12600,29,26,4879.29,4,5,5,Champions
12601,190,7,673.76,2,4,3,At Risk
12602,59,1,153.12,3,1,1,Others
12603,22,1,739.2,4,1,3,New Promising
12604,79,2,254.18,3,2,1,Others
12605,365,5,1225.45,2,3,4,At Risk
12606,682,1,21.0,1,1,1,Lost
12608,405,1,415.79,2,1,2,Lost
12609,78,10,3417.86,3,4,5,Loyal Customers
12610,23,7,2057.99,4,4,4,Champions
12611,52,1,1193.32,4,1,4,New Promising
12612,58,2,643.59,3,2,3,Others
12613,31,13,6573.82,4,5,5,Champions
12614,278,1,315.6,2,1,2,Lost
12615,2,11,5564.88,5,5,5,Champions
12616,85,7,1045.35,3,4,3,Loyal Customers
12617,29,1,352.98,4,1,2,New Promising
12618,22,1,177.31,4,1,1,New Promising
12619,16,14,3354.95,5,5,5,Champions
12620,15,3,1339.41,5,2,4,New Promising
12621,2,44,24114.7,5,5,5,Champions
12622,232,1,180.1,2,1,1,Lost
12623,276,9,3639.84,2,4,5,At Risk
12624,106,2,641.13,3,2,3,Others
12625,212,5,5095.38,2,3,5,At Risk
12626,23,13,6388.35,4,5,5,Champions
12627,11,7,4478.53,5,4,5,Champions
12628,4,4,769.61,5,3,3,Loyal Customers
12629,386,2,1558.22,2,2,4,Cannot Lose Them
12630,10,2,1270.88,5,2,4,New Promising
12631,57,7,3452.27,4,4,5,Champions
12632,521,4,738.88,1,3,3,At Risk
12633,59,10,5595.21,3,4,5,Loyal Customers
12634,536,2,490.0,1,2,2,Lost
12635,90,4,2930.41,3,3,5,Loyal Customers
12636,739,1,141.0,1,1,1,Lost
12637,67,14,8215.16,3,5,5,Loyal Customers
12638,33,2,921.49,4,2,3,New Promising
12639,239,3,1312.37,2,2,4,Cannot Lose Them
12640,24,3,1174.58,4,2,3,New Promising
12641,115,1,185.9,3,1,1,Others
12642,25,3,1013.26,4,2,3,New Promising
12643,128,14,7835.3,3,5,5,Loyal Customers
12644,130,6,1815.54,3,4,4,Loyal Customers
12645,34,10,3499.1,4,4,5,Champions
12646,5,2,1346.97,5,2,4,New Promising
12647,22,45,16713.99,4,5,5,Champions
12648,155,5,1097.0,3,3,3,Loyal Customers
12649,107,10,2258.5,3,4,4,Loyal Customers
12650,3,1,314.44,5,1,2,New Promising
12651,335,5,365.3,2,3,2,At Risk
12652,322,3,1011.58,2,2,3,Cannot Lose Them
12653,149,3,4160.83,3,2,5,Others
12654,11,5,601.98,5,3,3,Loyal Customers
12655,424,1,261.35,1,1,1,Lost
12656,17,12,6320.78,5,5,5,Champions
12657,11,5,1152.06,5,3,3,Loyal Customers
12658,19,1,686.05,4,1,3,New Promising
12659,30,1,91.68,4,1,1,New Promising
12660,11,1,245.1,5,1,1,New Promising
12661,436,1,162.0,1,1,1,Lost
12662,1,22,6687.69,5,5,5,Champions
12663,625,3,204.0,1,2,1,Lost
12664,8,12,6052.04,5,5,5,Champions
12665,325,5,301.45,2,3,2,At Risk
12666,359,2,1020.98,2,2,3,Cannot Lose Them
12667,58,1,620.13,3,1,3,Others
12668,7,12,11319.06,5,5,5,Champions
12669,151,4,1607.73,3,3,4,Loyal Customers
12670,10,8,3750.39,5,4,5,Champions
12671,606,1,2622.48,1,1,4,Cannot Lose Them
12672,330,3,410.5,2,2,2,Lost
12673,5,3,1230.02,5,2,4,New Promising
12674,12,7,1922.26,5,4,4,Champions
12675,554,4,933.55,1,3,3,At Risk
12676,25,12,2773.09,4,5,4,Champions
12677,555,3,389.3,1,2,2,Lost
12678,42,23,33851.13,4,5,5,Champions
12679,52,9,1058.67,4,4,3,Loyal Customers
12680,1,4,880.81,5,3,3,Loyal Customers
12681,15,56,29518.24,5,5,5,Champions
12682,4,53,22862.12,5,5,5,Champions
12683,4,27,11355.52,5,5,5,Champions
12684,8,7,2283.63,5,4,4,Champions
12685,28,6,2863.08,4,4,5,Champions
12686,372,1,89.14,2,1,1,Lost
12687,481,2,2138.91,1,2,4,Cannot Lose Them
12688,114,1,4873.81,3,1,5,Others
12689,26,2,1247.61,4,2,4,New Promising
12690,206,1,389.01,2,1,2,Lost
12691,28,7,1170.4,4,4,3,Loyal Customers
12692,637,1,110.95,1,1,1,Lost
12693,121,11,1640.42,3,5,4,Loyal Customers
12694,70,4,1839.45,3,3,4,Loyal Customers
12695,7,7,1407.12,5,4,4,Champions
12696,435,3,801.15,1,2,3,Cannot Lose Them
12697,21,5,939.02,4,3,3,Loyal Customers
12698,590,1,339.75,1,1,2,Lost
12699,418,1,638.11,1,1,3,Cannot Lose Them
12700,8,6,4867.99,5,4,5,Champions
12701,80,6,2446.41,3,4,4,Loyal Customers
12702,20,1,219.0,4,1,1,New Promising
12703,64,7,892.18,3,4,3,Loyal Customers
12704,7,10,2220.84,5,4,4,Champions
12705,15,22,11554.0,5,5,5,Champions
12707,292,1,603.42,2,1,3,Cannot Lose Them
12708,30,30,4921.72,4,5,5,Champions
12709,3,55,29511.03,5,5,5,Champions
12710,97,4,1130.57,3,3,3,Loyal Customers
12711,612,2,1339.05,1,2,4,Cannot Lose Them
12712,23,28,6521.78,4,5,5,Champions
12713,1,1,848.55,5,1,3,New Promising
12714,9,12,14093.71,5,5,5,Champions
12715,106,1,343.36,3,1,2,Others
12716,4,2,1053.49,5,2,3,New Promising
12717,151,4,1258.91,3,3,4,Loyal Customers
12718,71,1,238.25,3,1,1,Others
12719,5,3,608.1,5,2,3,New Promising
12720,3,41,7574.49,5,5,5,Champions
12721,32,10,3933.83,4,4,5,Champions
12722,85,6,904.33,3,4,3,Loyal Customers
12723,4,5,725.07,5,3,3,Loyal Customers
12724,5,7,2317.52,5,4,4,Champions
12725,371,4,2266.76,2,3,4,At Risk
12726,28,11,4014.6,4,5,5,Champions
12727,11,12,5646.53,5,5,5,Champions
12728,71,5,1070.17,3,3,3,Loyal Customers
12729,114,1,453.01,3,1,2,Others
12730,522,1,829.25,1,1,3,Cannot Lose Them
12731,24,19,25673.21,4,5,5,Champions
12732,180,1,236.26,3,1,1,Others
12733,234,6,2326.82,2,4,4,At Risk
12734,353,3,639.65,2,2,3,Cannot Lose Them
12735,315,2,779.57,2,2,3,Cannot Lose Them
12736,333,1,234.0,2,1,1,Lost
12737,499,2,3710.5,1,2,5,Cannot Lose Them
12738,372,1,155.35,2,1,1,Lost
12739,78,4,2726.73,3,3,4,Loyal Customers
12740,64,1,427.6,3,1,2,Others
12741,529,2,406.07,1,2,2,Lost
12742,600,2,1185.02,1,2,3,Cannot Lose Them
12743,134,2,540.13,3,2,2,Others
12744,52,14,13158.16,4,5,5,Champions
12745,487,3,925.41,1,2,3,Cannot Lose Them
12746,528,3,230.85,1,2,1,Lost
12747,2,32,8786.53,5,5,5,Champions
12748,1,365,46933.33,5,5,5,Champions
12749,4,16,6328.49,5,5,5,Champions
12750,129,1,275.88,3,1,1,Others
12751,445,1,268.27,1,1,1,Lost
12752,81,1,4366.78,3,1,5,Others
12753,4,11,21024.01,5,5,5,Champions
12754,236,5,2949.12,2,3,5,At Risk
12755,250,22,2611.95,2,5,4,At Risk
12756,87,1,112.08,3,1,1,Others
12757,16,19,4205.25,5,5,5,Champions
12758,117,8,9779.0,3,4,5,Loyal Customers
12759,52,8,5020.74,4,4,5,Champions
12760,456,1,347.8,1,1,2,Lost
12761,458,2,782.95,1,2,3,Cannot Lose Them
12762,8,2,1898.52,5,2,4,New Promising
12763,138,2,494.08,3,2,2,Others
12764,317,1,1693.88,2,1,4,Cannot Lose Them
12765,472,6,1404.58,1,4,4,At Risk
12766,4,11,8877.14,5,5,5,Champions
12767,376,1,949.82,2,1,3,Cannot Lose Them
12769,239,1,1143.6,2,1,3,Cannot Lose Them
12770,211,7,2975.95,2,4,5,At Risk
12771,465,2,262.5,1,2,1,Lost
12772,60,1,892.47,3,1,3,Others
12774,536,1,98.7,1,1,1,Lost
12775,17,8,1651.32,5,4,4,Champions
12776,668,1,55.5,1,1,1,Lost
12777,458,1,519.45,1,1,2,Lost
12778,20,10,1757.68,4,4,4,Champions
12779,21,21,6158.6,4,5,5,Champions
12780,599,1,337.4,1,1,2,Lost
12781,21,5,707.72,4,3,3,Loyal Customers
12782,5,14,4526.04,5,5,5,Champions
12783,2,8,1603.87,5,4,4,Champions
12784,9,3,1763.15,5,2,4,New Promising
12785,3,5,1079.31,5,3,3,Loyal Customers
12786,610,1,728.5,1,1,3,Cannot Lose Them
12787,10,5,859.18,5,3,3,Loyal Customers
12788,463,4,444.9,1,3,2,At Risk
12789,65,3,273.35,3,2,1,Others
12790,192,3,563.45,2,2,2,Lost
12791,374,8,585.15,2,4,2,At Risk
12792,257,3,813.88,2,2,3,Cannot Lose Them
12793,335,3,885.53,2,2,3,Cannot Lose Them
12794,53,2,860.41,4,2,3,New Promising
12795,19,1,430.48,4,1,2,New Promising
12796,628,1,381.0,1,1,2,Lost
12797,360,6,471.43,2,4,2,At Risk
12798,10,4,8510.93,5,3,5,Loyal Customers
12799,529,1,219.35,1,1,1,Lost
12800,470,3,584.25,1,2,2,Lost
12801,478,2,1031.87,1,2,3,Cannot Lose Them
12802,184,9,2350.42,2,4,4,At Risk
12803,393,1,1092.81,2,1,3,Cannot Lose Them
12804,466,2,325.37,1,2,2,Lost
12805,382,4,1434.95,2,3,4,At Risk
12806,435,4,2878.96,1,3,5,At Risk
12807,383,3,269.95,2,2,1,Lost
12808,37,5,776.7,4,3,3,Loyal Customers
12809,168,8,1705.34,3,4,4,Loyal Customers
12810,535,2,534.99,1,2,2,Lost
12811,261,5,1033.9,2,3,3,At Risk
12812,45,1,229.64,4,1,1,New Promising
12813,502,3,1687.8,1,2,4,Cannot Lose Them
12814,102,1,125.92,3,1,1,Others
12815,148,2,1063.46,3,2,3,Others
12816,96,2,572.2,3,2,2,Others
12817,281,3,690.98,2,2,3,Cannot Lose Them
12818,178,2,1517.88,3,2,4,Others
12819,458,1,540.52,1,1,2,Lost
12820,3,13,2647.94,5,5,4,Champions
12821,214,2,220.8,2,2,1,Lost
12822,71,3,918.98,3,2,3,Others
12823,75,18,6501.5,3,5,5,Loyal Customers
12824,60,1,397.12,3,1,2,Others
12825,521,2,518.63,1,2,2,Lost
12826,3,15,2773.69,5,5,4,Champions
12827,6,3,430.15,5,2,2,New Promising
12828,3,6,1018.71,5,4,3,Loyal Customers
12829,322,4,345.35,2,3,2,At Risk
12830,38,7,6748.4,4,4,5,Champions
12831,262,3,451.11,2,2,2,Lost
12832,32,2,383.03,4,2,2,New Promising
12833,145,1,417.38,3,1,2,Others
12834,283,1,312.38,2,1,2,Lost
12835,418,49,5972.19,1,5,5,At Risk
12836,59,17,6520.58,3,5,5,Loyal Customers
12837,173,2,662.66,3,2,3,Others
12838,34,12,2953.46,4,5,5,Champions
12839,3,31,9525.22,5,5,5,Champions
12840,144,11,4013.87,3,5,5,Loyal Customers
12841,5,42,6808.0,5,5,5,Champions
12842,70,4,1917.99,3,3,4,Loyal Customers
12843,66,34,6340.56,3,5,5,Loyal Customers
12844,29,4,648.6,4,3,3,Loyal Customers
12845,267,4,354.09,2,3,2,At Risk
12846,682,1,15.58,1,1,1,Lost
12847,22,2,1609.0,4,2,4,New Promising
12848,676,1,208.0,1,1,1,Lost
12849,31,6,3042.47,4,4,5,Champions
12850,446,1,330.0,1,1,2,Lost
12851,97,2,280.76,3,2,2,Others
12852,290,2,299.75,2,2,2,Lost
12853,108,16,3728.5,3,5,5,Loyal Customers
12854,79,11,2899.32,3,5,5,Loyal Customers
12855,373,4,612.84,2,3,3,At Risk
12856,8,8,2153.53,5,4,4,Champions
12857,211,7,3684.25,2,4,5,At Risk
12858,383,2,121.08,2,2,1,Lost
12859,459,1,575.1,1,1,2,Lost
12860,693,1,54.22,1,1,1,Lost
12861,620,1,68.25,1,1,1,Lost
12862,426,2,984.62,1,2,3,Cannot Lose Them
12863,52,7,2775.55,4,4,4,Champions
12864,138,2,299.57,3,2,2,Others
12865,26,5,3303.31,4,3,5,Loyal Customers
12866,283,3,1227.35,2,2,4,Cannot Lose Them
12867,26,16,7778.66,4,5,5,Champions
12868,186,8,2043.76,2,4,4,At Risk
12869,682,1,337.67,1,1,2,Lost
12870,366,4,1662.05,2,3,4,At Risk
12871,84,3,744.02,3,2,3,Others
12872,327,13,3276.81,2,5,5,At Risk
12873,282,3,2027.3,2,2,4,Cannot Lose Them
12874,385,3,933.42,2,2,3,Cannot Lose Them
12875,143,5,1356.99,3,3,4,Loyal Customers
12876,58,5,4068.59,3,3,5,Loyal Customers
12877,4,20,2942.14,5,5,5,Champions
12878,18,3,841.64,5,2,3,New Promising
12879,45,4,552.57,4,3,2,Others
12880,382,2,640.13,2,2,3,Cannot Lose Them
12881,276,1,298.0,2,1,2,Lost
12882,9,2,1463.04,5,2,4,New Promising
12883,25,4,703.47,4,3,3,Loyal Customers
12884,88,1,309.05,3,1,2,Others
12885,63,4,1158.27,3,3,3,Loyal Customers
12886,68,3,1351.09,3,2,4,Others
12887,384,1,222.4,2,1,1,Lost
12888,214,4,313.77,2,3,2,At Risk
12889,381,6,365.66,2,4,2,At Risk
12890,24,2,706.02,4,2,3,New Promising
12891,186,12,819.5,2,5,3,At Risk
12892,397,1,263.38,2,1,1,Lost
12893,31,1,176.55,4,1,1,New Promising
12894,575,1,157.35,1,1,1,Lost
12895,42,3,347.3,4,2,2,New Promising
12897,205,4,514.25,2,3,2,At Risk
12898,464,2,296.21,1,2,2,Lost
12899,414,1,366.4,1,1,2,Lost
12900,422,1,340.33,1,1,2,Lost
12901,9,36,16293.1,5,5,5,Champions
12902,265,1,138.68,2,1,1,Lost
12903,429,1,833.53,1,1,3,Cannot Lose Them
12904,18,2,496.06,5,2,2,New Promising
12905,577,3,1011.82,1,2,3,Cannot Lose Them
12906,12,5,2919.81,5,3,5,Loyal Customers
12907,396,3,440.36,2,2,2,Lost
12908,59,7,1272.0,3,4,4,Loyal Customers
12909,40,13,3034.77,4,5,5,Champions
12910,23,14,5747.02,4,5,5,Champions
12911,552,1,1651.72,1,1,4,Cannot Lose Them
12912,3,5,1662.3,5,3,4,Loyal Customers
12913,5,13,6283.24,5,5,5,Champions
12914,401,1,223.98,2,1,1,Lost
12915,149,8,885.2,3,4,3,Loyal Customers
12916,139,8,4455.93,3,4,5,Loyal Customers
12917,128,8,4329.5,3,4,5,Loyal Customers
12919,8,8,1301.44,5,4,4,Champions
12920,17,4,486.64,5,3,2,Others
12921,4,103,33951.65,5,5,5,Champions
12922,161,1,405.38,3,1,2,Others
12923,64,3,770.42,3,2,3,Others
12924,88,14,2423.15,3,5,4,Loyal Customers
12925,5,3,729.33,5,2,3,New Promising
12926,411,4,1523.97,1,3,4,At Risk
12927,395,1,197.31,2,1,1,Lost
12928,35,12,4304.89,4,5,5,Champions
12929,122,2,105.1,3,2,1,Others
12930,78,4,409.9,3,3,2,Others
12931,22,71,71299.67,4,5,5,Champions
12932,539,8,1698.56,1,4,4,At Risk
12933,24,11,1576.88,4,5,4,Champions
12934,737,1,181.65,1,1,1,Lost
12935,2,19,4182.01,5,5,5,Champions
12936,17,5,1012.9,5,3,3,Loyal Customers
12937,15,9,3097.61,5,4,5,Champions
12938,26,1,114.14,4,1,1,New Promising
12939,64,20,25264.8,3,5,5,Loyal Customers
12940,46,4,862.44,4,3,3,Loyal Customers
12941,724,1,377.49,1,1,2,Lost
12942,131,3,675.6,3,2,3,Others
12943,301,4,489.0,2,3,2,At Risk
12944,36,2,604.51,4,2,3,New Promising
12945,288,2,900.11,2,2,3,Cannot Lose Them
12946,437,1,324.45,1,1,2,Lost
12947,144,11,1407.29,3,5,4,Loyal Customers
12948,16,10,2306.18,5,4,4,Champions
12949,31,28,15391.0,4,5,5,Champions
12950,2,3,1843.0,5,2,4,New Promising
12951,9,20,3164.42,5,5,5,Champions
12952,6,5,1382.84,5,3,4,Loyal Customers
12953,10,2,828.81,5,2,3,New Promising
12954,639,1,162.45,1,1,1,Lost
12955,1,14,4734.26,5,5,5,Champions
12956,306,4,521.89,2,3,2,At Risk
12957,4,21,8628.42,5,5,5,Champions
12958,400,2,467.34,2,2,2,Lost
12959,484,2,133.35,1,2,1,Lost
12960,414,4,1322.07,1,3,4,At Risk
12961,379,1,211.99,2,1,1,Lost
12962,7,2,266.39,5,2,1,New Promising
